"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"level1_choice"	"level2_choice"	"reward"	"transition"	"Time"	"subjID"
"InstructionMarkovVideoG"	117	1	1	1	0.10164	0.56925	1	4	0	0	1	33
"InstructionMarkovVideoG"	118	1	-1	-1	0.00109	0.418645	1	4	0	0	1	33
"InstructionMarkovVideoG"	119	1	-1	-1	0.23468	0.38596	1	1	1	1	1	33
"InstructionMarkovVideoG"	120	1	1	1	0.251595	0.453215	1	3	0	0	1	33
"InstructionMarkovVideoG"	121	1	-1	-1	0.366305	0.53412	1	1	1	1	1	33
"InstructionMarkovVideoG"	122	1	1	1	0.335	0.61727	1	2	0	1	1	33
"InstructionMarkovVideoG"	123	0	-1	1	0.316415	0.56881	2	3	0	1	1	33
"InstructionMarkovVideoG"	124	1	-1	1	0.30385	0.551555	2	4	1	1	1	33
"InstructionMarkovVideoG"	125	1	1	1	0.01802	0.337855	2	4	1	1	1	33
"InstructionMarkovVideoG"	126	1	1	1	0.101755	0.40377	2	1	0	0	1	33
"InstructionMarkovVideoG"	127	1	-1	-1	0.234975	0.516095	2	4	1	1	1	33
"InstructionMarkovVideoG"	128	1	1	1	0.269905	0.43536	2	4	1	1	1	33
"InstructionMarkovVideoG"	129	1	1	1	0.216845	0.45108	2	1	0	0	1	33
"InstructionMarkovVideoG"	130	1	-1	-1	0.31637	0.334475	2	4	0	1	1	33
"InstructionMarkovVideoG"	131	1	-1	1	0.21807	0.382945	2	4	1	1	1	33
"InstructionMarkovVideoG"	132	1	1	1	0.18939	0.40261	2	1	0	0	1	33
"InstructionMarkovVideoG"	133	1	-1	-1	0.05072	0.43527	2	4	1	1	1	33
"InstructionMarkovVideoG"	134	1	1	1	0.13572	0.38533	2	1	1	0	1	33
"InstructionMarkovVideoG"	135	1	1	-1	0.151045	0.41877	2	4	1	1	1	33
"InstructionMarkovVideoG"	136	1	1	1	0.282985	0.486975	2	1	1	0	1	33
"InstructionMarkovVideoG"	137	1	1	-1	0.234455	0.3558	2	4	0	1	1	33
"InstructionMarkovVideoG"	138	1	-1	1	0.383505	1.017605	2	1	1	0	1	33
"InstructionMarkovVideoG"	139	1	1	-1	0.26674	0.518375	2	4	0	1	1	33
"InstructionMarkovVideoG"	140	1	-1	1	0.18373	0.387055	2	1	0	0	1	33
"InstructionMarkovVideoG"	141	1	-1	-1	0.36759	0.6165	2	1	1	0	1	33
"InstructionMarkovVideoG"	142	1	1	-1	0.318085	0.36795	2	4	1	1	1	33
"InstructionMarkovVideoG"	143	1	1	1	0.23381	0.550925	2	4	1	1	1	33
"InstructionMarkovVideoG"	144	1	1	1	0.26846	0.4853	2	4	1	1	1	33
"InstructionMarkovVideoG"	145	1	1	1	0.33405	0.35162	2	1	0	0	1	33
"InstructionMarkovVideoG"	146	1	-1	-1	0.200275	0.318925	2	4	1	1	1	33
"InstructionMarkovVideoG"	147	1	1	1	0.43622	0.350995	2	4	1	1	1	33
"InstructionMarkovVideoG"	148	1	1	1	0.204495	0.38571	2	4	1	1	1	33
"InstructionMarkovVideoG"	149	1	1	1	0.22171	0.38547	2	4	1	1	1	33
"InstructionMarkovVideoG"	150	1	1	1	0.30161	0.401835	2	1	1	0	1	33
"InstructionMarkovVideoG"	151	1	1	-1	0.217615	0.401595	2	4	1	1	1	33
"InstructionMarkovVideoG"	152	1	1	1	0.30571	0.385245	2	4	0	1	1	33
"InstructionMarkovVideoG"	153	1	-1	1	0.16739	0.41928	2	4	0	1	1	33
"InstructionMarkovVideoG"	154	1	-1	1	0.184205	0.41904	2	4	0	1	1	33
"InstructionMarkovVideoG"	155	1	-1	1	0.00179	0.44919	2	1	1	0	1	33
"InstructionMarkovVideoG"	156	1	1	-1	0.40152	0.53179	2	4	0	1	1	33
"InstructionMarkovVideoG"	157	1	-1	1	0.30415	0.368845	2	4	0	1	1	33
"InstructionMarkovVideoG"	158	1	-1	1	0.23629	0.352045	2	4	0	1	1	33
"InstructionMarkovVideoG"	159	1	-1	1	0.18743	0.399525	2	4	0	1	1	33
"InstructionMarkovVideoG"	160	1	-1	1	0.28403	0.41729	2	1	0	0	1	33
"InstructionMarkovVideoG"	161	1	-1	-1	0.12019	0.38377	2	4	0	1	1	33
"InstructionMarkovVideoG"	162	0	-1	1	0.29951	0.71806	1	1	0	1	1	33
"InstructionMarkovVideoG"	163	1	-1	1	0.28374	0.58399	1	4	0	0	1	33
"InstructionMarkovVideoG"	164	1	-1	-1	0.285865	0.665965	1	2	1	1	1	33
"InstructionMarkovVideoG"	165	1	1	1	0.234725	0.501595	1	2	0	1	1	33
"InstructionMarkovVideoG"	166	1	-1	1	0.1685	0.385765	1	1	1	1	1	33
"InstructionMarkovVideoG"	167	1	1	1	0.183935	1.11792	1	2	1	1	1	33
"InstructionMarkovVideoG"	168	1	1	1	0.26863	0.770115	1	3	0	0	1	33
"InstructionMarkovVideoG"	169	1	-1	-1	0.150255	0.651	1	3	0	0	1	33
"InstructionMarkovVideoG"	170	1	-1	-1	0.068295	0.41843	1	3	1	0	1	33
"InstructionMarkovVideoG"	171	1	1	-1	0.31755	0.4012	1	2	1	1	1	33
"InstructionMarkovVideoG"	172	1	1	1	0.001415	0.30108	1	3	0	0	1	33
"InstructionMarkovVideoG"	173	1	-1	-1	0.41805	0.56662	1	2	0	1	1	33
"InstructionMarkovVideoG"	174	0	-1	1	0.27425	0.40128	2	4	0	1	1	33
"InstructionMarkovVideoG"	175	1	-1	1	0.10077	0.40054	2	4	0	1	1	33
"InstructionMarkovVideoG"	176	1	-1	1	0.150865	0.551485	2	4	1	1	1	33
"InstructionMarkovVideoG"	177	1	1	1	0.38465	0.38632	2	4	0	1	1	33
"InstructionMarkovVideoG"	178	1	-1	1	0.267305	0.37154	2	4	1	1	1	33
"InstructionMarkovVideoG"	179	1	1	1	0.30092	0.35186	2	1	0	0	1	33
"InstructionMarkovVideoG"	180	1	-1	-1	0.08523	0.451875	2	3	1	1	1	33
"InstructionMarkovVideoG"	181	1	1	1	0.235755	0.40041	2	4	0	1	1	33
"InstructionMarkovVideoG"	182	1	-1	1	0.087155	0.321555	2	3	1	1	1	33
"InstructionMarkovVideoG"	183	1	1	1	0.183375	0.319275	2	3	1	1	1	33
"InstructionMarkovVideoG"	184	1	1	1	0.133045	0.53485	2	2	1	0	1	33
"InstructionMarkovVideoG"	185	1	1	-1	0.150415	0.33445	2	3	0	1	1	33
"InstructionMarkovVideoG"	186	1	-1	1	0.15457	0.284915	2	1	0	0	1	33
"InstructionMarkovVideoG"	187	1	-1	-1	0.137435	0.234655	2	4	1	1	1	33
"InstructionMarkovVideoG"	188	1	1	1	0.43562	0.60045	2	1	1	0	1	33
"InstructionMarkovVideoG"	189	1	1	-1	0.300045	0.58384	2	1	0	0	1	33
"InstructionMarkovVideoG"	190	1	-1	-1	0.01622	0.268105	2	2	1	0	1	33
"InstructionMarkovVideoG"	191	1	1	-1	0.33676	0.40214	2	3	0	1	1	33
"InstructionMarkovVideoG"	192	1	-1	1	0.351295	0.36825	2	3	1	1	1	33
"InstructionMarkovVideoG"	193	1	1	1	0.1345	0.4026	2	3	0	1	1	33
"InstructionMarkovVideoG"	194	1	-1	1	0.30098	0.3193	2	3	0	1	1	33
"InstructionMarkovVideoG"	195	1	-1	1	0.36628	1.052235	2	3	0	1	1	33
"InstructionMarkovVideoG"	196	1	-1	1	0.271845	0.2846	2	3	0	1	1	33
"InstructionMarkovVideoG"	197	1	-1	1	0.23619	0.63481	2	4	0	1	1	33
"InstructionMarkovVideoG"	198	1	-1	1	0.28327	0.46934	2	4	0	1	1	33
"InstructionMarkovVideoG"	199	1	-1	1	0.283925	0.0842	2	3	0	1	1	33
"InstructionMarkovVideoG"	200	0	-1	1	0.402585	0.36758	1	4	0	0	1	33
"InstructionMarkovVideoG"	11	1	1	1	1.025	0.569175	1	3	0	0	1	35
"InstructionMarkovVideoG"	12	1	-1	-1	0.561045	0.875865	1	4	0	0	1	35
"InstructionMarkovVideoG"	13	1	-1	-1	0.583515	0.86448	1	1	1	1	1	35
"InstructionMarkovVideoG"	14	1	1	1	0.82892	0.556165	1	4	0	0	1	35
