InstrVideoKR.keys,InstrVideoKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,VideoGLoop.thisRepN,VideoGLoop.thisTrialN,VideoGLoop.thisN,VideoGLoop.thisIndex,VideoGLoop.ran,Video,email,date,expName,psychopyVersion,OS,frameRate,VraieTacheKR.keys,VraieTacheKR.rt,Choice1.keys,Choice1.rt,Transition,Choice2.keys,Choice2.rt,Reward,Task2.thisRepN,Task2.thisTrialN,Task2.thisN,Task2.thisIndex,Task2.ran,Ntrial,Walk21,PChoice21,Walk22,PChoice22,Walk23,PChoice23,Walk24,PChoice24,FinTache1KR.keys,FinTache1KR.rt,FinTache2KR.keys,FinTache2KR.rt
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.30171,1,e,0.96667,1,0,26,26,17,1,18,0.01,0.69,0.03,0.63,0.01,0.59,0.03,0.72,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.317435,1,e,0.417685,0,0,27,27,8,1,9,0.02,0.67,0.03,0.59,-0.02,0.6,0.02,0.66,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.383875,1,e,0.34982,1,0,28,28,48,1,49,-0.07,0.65,0.01,0.63,-0.04,0.55,-0.02,0.66,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31775,0,i,0.35121,0,0,29,29,16,1,17,0.02,0.68,-0.03,0.6,0,0.58,0.03,0.75,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.43449,0,e,0.282665,1,0,30,30,158,1,159,0.03,0.63,0.01,0.74,-0.02,0.52,0.06,0.35,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.353845,0,i,0.416285,0,0,31,31,61,1,62,0,0.58,0.02,0.59,-0.02,0.51,-0.02,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.366465,1,e,0.283425,1,0,32,32,47,1,48,0,0.72,-0.01,0.62,0,0.59,0.04,0.68,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.433585,1,i,0.299275,1,0,33,33,186,1,187,-0.05,0.42,-0.01,0.69,0.04,0.31,-0.04,0.25,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.45774,0,i,0.400315,0,0,34,34,29,1,30,0,0.71,0,0.62,0.05,0.64,0.01,0.7,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.41669,1,e,0.3768,1,0,35,35,21,1,22,0.03,0.67,0.01,0.57,0.01,0.55,-0.01,0.68,,,,
